MoM Growth Rate,Location,Speciality,1/2/22,1/3/22,1/1/23,1/1/24,1/1/25,1/1/26,1/1/27,Profit,,2/1/22
0.077115904,Provence-Alpes-Côte d'Azur,Physiotherapists,1188,1279.613694,2689.69642,6559.224986,15995.64624,39007.76373,95126.23678,"1,427.00 €",,
0.072261712,Auvergne-Rhône-Alpes,Psychologists,1344,1441.119741,2895.39655,6688.329106,15449.95494,35689.19889,82441.59431,"1,389.60 €",,
0.085054143,Bourgogne-Franche-Comté,Psychologists,211,228.9464242,517.9024437,1379.319496,3673.51476,9783.600342,26056.47232,"1,353.30 €",,
0.091427228,Bretagne,Psychologists,434,473.679417,1136.141317,3246.158805,9274.855889,26499.92096,75715.0105,"1,356.70 €",,
0.066849672,Centre-Val de Loire,Psychologists,268,285.9157121,546.0976442,1187.159412,2580.760941,5610.305547,12196.22005,"1,258.79 €",,
0.056865301,Corse,Psychologists,18,19.02357542,33.07413844,64.22797273,124.7268311,242.2119483,470.3609267,927.09 €,,
0.055013043,DOM-TOM,Psychologists,19,20.04524781,34.24441216,65.11539189,123.8162373,235.4352814,447.6777274,959.89 €,,
0.084457431,Grand Est,Psychologists,452,490.174759,1102.747383,2917.602659,7719.270438,20423.32115,54035.16435,"1,405.42 €",,
0.085054312,Hauts-de-France,Psychologists,599,649.9475327,1470.256371,3915.712474,10428.66026,27774.49964,73971.42217,"1,426.46 €",,
0.044268246,Île-de-France,Psychologists,4302,4492.441994,6927.925362,11650.59395,19592.63883,32948.6632,55409.30021,"1,370.75 €",,
0.098677289,Normandie,Psychologists,298,327.4058321,839.0500805,2595.551497,8029.18411,24837.80327,76834.26648,"1,399.09 €",,
0.087112976,Nouvelle-Aquitaine,Psychologists,812,882.7357362,2035.061336,5544.643869,15106.70715,41159.10891,112140.4042,"1,328.87 €",,
0.078963858,Occitanie,Psychologists,1066,1150.175473,2459.422129,6122.317464,15240.47892,37938.60727,94441.77763,"1,347.61 €",,
0.06879378,Pays de la Loire,Psychologists,563,601.730898,1170.419337,2600.569706,5778.23912,12838.74347,28526.56845,"1,386.60 €",,
0.07677262,Provence-Alpes-Côte d'Azur,Psychologists,984,1059.544258,2220.031519,5393.208199,13101.9287,31829.02076,77323.46783,"1,332.94 €",,
0.02679681,Auvergne-Rhône-Alpes,Radiologists,1,1.02679681,1.337610342,1.837146317,2.523236016,3.465548679,4.759771806,0.00 €,,
0.034998088,Bretagne,Radiologists,5,5.174990441,7.299700262,11.03010378,16.66687466,25.18423367,38.05426263,-274.03 €,,
0.034423268,Centre-Val de Loire,Radiologists,1,1.034423268,1.451045693,2.178012952,3.269187483,4.907035464,7.365437797,0.00 €,,
0.05216026,Grand Est,Radiologists,8,8.41728208,13.9955776,25.76164318,47.41942623,87.28488194,160.6651793,-278.50 €,,
0.084771268,Hauts-de-France,Radiologists,5,5.423856338,12.23742133,32.4898716,86.25932933,229.0151216,608.026127,"1,819.76 €",,
